 ,Label,X,Y,Width,Height,Area,NearestNeighborDistance,Perimeter,Circularity,Roundness,AR,Solidity,Feret,FeretAR,Compactness,Extent,IntegratedDensity,RawIntegratedDensity,FeretAngle,MinFeret,FeretX,FeretY,XM,YM,BX,BY,Major,Minor,Angle,XStart,YStart
193,Along the build_20.tif,3.493,12.158,0.762,0.707,0.341,1.053,2.269,0.831,0.751,1.332,0.868,0.816,1.341,0.867,0.632,86.853,29325.000,143.130,0.609,3.102,11.973,3.493,12.158,3.102,11.810,0.760,0.571,144.238,64.000,217.000
194,Along the build_20.tif,27.221,12.542,0.653,1.034,0.267,1.074,2.840,0.415,0.544,1.838,0.638,1.047,1.668,0.738,0.395,67.972,22950.000,81.027,0.628,27.320,13.116,27.221,12.542,26.830,12.082,0.790,0.430,84.036,502.000,222.000
195,Along the build_20.tif,25.089,14.688,4.354,4.463,2.206,1.971,16.328,0.104,0.102,9.825,0.503,6.043,7.261,0.319,0.114,562.654,189975.000,133.905,0.832,22.966,12.299,25.089,14.688,22.966,12.190,5.254,0.535,132.853,425.000,224.000
196,Along the build_20.tif,6.655,12.944,1.361,1.469,0.477,1.515,4.289,0.326,0.185,5.399,0.658,1.829,3.655,0.430,0.239,121.594,41055.000,126.529,0.500,6.259,12.245,6.655,12.944,6.041,12.245,1.811,0.335,130.878,115.000,225.000
197,Along the build_20.tif,38.139,12.685,0.871,0.925,0.163,1.520,2.604,0.302,0.134,7.443,0.647,1.234,5.039,0.367,0.202,41.538,14025.000,48.576,0.245,37.660,13.170,38.139,12.685,37.660,12.245,1.242,0.167,48.068,705.000,225.000
198,Along the build_20.tif,41.407,12.822,0.653,0.871,0.184,0.971,2.590,0.344,0.262,3.815,0.689,1.088,3.275,0.512,0.323,46.825,15810.000,126.870,0.332,41.088,12.354,41.407,12.822,41.088,12.354,0.944,0.248,121.487,755.000,227.000
199,Along the build_20.tif,16.039,13.135,0.816,1.469,0.468,1.302,4.334,0.313,0.494,2.024,0.578,1.494,1.915,0.703,0.390,119.328,40290.000,79.509,0.780,16.054,13.878,16.039,13.135,15.619,12.408,1.098,0.543,89.576,298.000,228.000
200,Along the build_20.tif,31.259,12.677,0.490,0.490,0.148,0.574,1.712,0.635,0.956,1.046,0.787,0.544,1.118,0.978,0.617,37.762,12750.000,143.130,0.487,31.075,12.463,31.259,12.677,31.020,12.408,0.444,0.425,94.430,573.000,228.000
201,Along the build_20.tif,39.957,12.971,0.925,0.925,0.258,0.994,2.821,0.407,0.221,4.523,0.722,1.270,3.668,0.470,0.301,65.706,22185.000,136.736,0.346,39.510,12.463,39.957,12.971,39.510,12.463,1.218,0.269,134.275,726.000,229.000
202,Along the build_20.tif,8.248,13.104,0.762,0.762,0.166,1.476,2.328,0.385,0.317,3.156,0.586,0.936,2.439,0.563,0.286,42.293,14280.000,54.462,0.384,7.891,13.551,8.248,13.104,7.837,12.789,0.816,0.259,43.004,153.000,235.000
